name,openalex_id,works_count,cited_by_count,last_known_institution
Kongkiat Kulkantrakorn,A5059317319,93,1740,Thammasat University Hospital
V.E. Strel’nitskij,A5067052919,93,529,Institute of Physics and Technology
Ali Turab,A5000108393,92,3503,University of Alicante
Teerayut Horanont,A5011630316,92,1642,Tokyo Metropolitan Komaba High School
Peerapan Tan‐ariya,A5020255311,92,1697,Burapha University
Adisorn Leelasantitham,A5026140760,92,656,University of the Thai Chamber of Commerce
Eric D. Ramstetter,A5045120802,92,1065,Asian Growth Research Institute
Amna Javed,A5052016643,92,205,Islamia University of Bahawalpur
Thananchai Leephakpreeda,A5057221119,92,1600,University of Akron
Orathai Chavalparit,A5062151890,92,1562,Chulalongkorn University
Thanwadee Chinda,A5074818546,92,686,Griffith University
Edy Suandi Hamid,A5090877392,92,260,Thammasat University
Mahesh Kumar Sharma,A5100620542,92,307,NIMS University
Simon Fraser,A5108209309,92,1296,Quinnipiac University
Chulaluk Komoltri,A5029939187,91,1907,Mahidol University
Krikamol Muandet,A5035023688,91,2740,Max Planck Society
Kasem Kulkeaw,A5049606584,91,927,Weatherford College
James Burford,A5064877552,91,730,Carleton University
Warit Wipulanusat,A5034926014,90,999,Thammasat University
S. Sudár,A5061888362,90,1671,Argonne National Laboratory
Walther H. Wernsdorfer,A5111904885,90,4597,Mahidol Oxford Tropical Medicine Research Unit
Mohamed Hachicha,A5112206199,90,613,Université Tunis Carthage
Somboon Sahasithiwat,A5036832520,89,884,Pathumthani University
Shu‐Han Hsu,A5083777748,89,1056,National Applied Research Laboratories
Somchart Chantasiriwan,A5089900614,89,1038,Faculty (United Kingdom)
Angsana A. Techatassanasoontorn,A5003176625,88,1184,Auckland University of Technology
Sumittra Charojrochkul,A5016027336,88,1492,Thailand National Metal and Materials Technology Center
Janardhana Anjanappa,A5033078904,88,43,Thammasat University
Pongchanun Luangpaiboon,A5069187412,88,256,Phranakhon Rajabhat University
Tulyapruek Tawonsawatruk,A5013951348,87,1329,Ramathibodi Hospital
Pawin Iamprasertkun,A5044819059,87,1744,Henry Royce Institute
Suwat Kuntanapreeda,A5053602060,87,1084,Thammasat University
Alina Lazar,A5056799505,87,710,Institute of Soil and Water Conservation
J. F. Webb,A5112035361,87,808,University of Strathclyde
Navee Chiadamrong,A5000518084,86,718,Thammasat University
Prathip Phantumvanit,A5028667643,86,3695,University of Alabama
Kudakwashe Dube,A5081972264,86,1829,King's College London
Itthisek Nilkhamhang,A5003973764,85,577,Keio University
Pongrama Ramasoota,A5025107575,85,1306,Mahidol University
Anongrit Kangrang,A5040183550,85,601,Rajabhat Maha Sarakham University
Cholwich Nattee,A5071053084,85,443,Tokyo Institute of Technology
Kamol Kaemarungsi,A5071131306,85,2109,National Electronics and Computer Technology Center
Raúl Díaz‐Torres,A5001215150,84,637,Institut de Ciència de Materials de Barcelona
Sunee Chansangpetch,A5025368678,84,1279,Chiang Mai University
Pongsak Hoontrakul,A5066476405,84,180,York University
Pramuan Tapchaisri,A5083681799,84,2118,Chulalongkorn University
Amorn Pimanmas,A5010393818,82,1953,Thammasat University
Orasa Suthienkul,A5019432324,82,1791,Ministry of Public Health
Pakpoom Kheolamai,A5037733070,82,1312,Mahidol University
Gritsada Sua-iam,A5040026897,82,1535,Phranakhon Rajabhat University
Chaosuan Kanchanomai,A5053007755,82,1589,Nagaoka University
Archanun Kohpaiboon,A5060103083,82,1127,Bangkok University
Mary H. Moran,A5080467625,82,1240,International Rescue Committee
S.A. Jonah,A5111788851,82,585,University of Debrecen
Ubolsree Leartsakulpanich,A5026246035,81,1303,National Science and Technology Development Agency
Orapan Poachanukoon,A5029635351,81,548,Union Hospital
Nabaraj Adhikari,A5080973590,81,1095,Thammasat University
Nuntra Suwantarat,A5081915942,81,1709,GTx (United States)
Charturong Tantibundhit,A5082973251,81,506,University of Pittsburgh
Pisal Yenradee,A5084614273,81,1023,Can Tho University
Hannes Mueller,A5007458035,80,880,University of Lausanne
Kornanong Yuenyongchaiwat,A5008879717,80,412,Thammasat University
Bubpha Pornthisarn,A5019029729,80,340,Thai Red Cross Society
Somchart Fugkeaw,A5082587353,80,526,Digital Science (United States)
Supakorn Boonyuen,A5001206198,79,1352,University of Bristol
Seewaboon Sireeratawong,A5022491930,79,1010,Chiang Mai University
Pajaree Krisanapan,A5047712678,79,739,WinnMed
Sa‐Ad Riyajan,A5087012616,79,1342,Imperial Consultants
Thomas S. K. Wan,A5114139507,79,1478,Queen Mary Hospital
Fredric William Swierczek,A5006145452,78,1917,Asian Institute of Technology
Masahiro Hiji,A5011945414,78,172,Tohoku University
Sarute Ummartyotin,A5017696186,78,2301,University of Toronto
Junya Pattaraarchachai,A5024672925,78,890,Thammasat University
Soonthorn Chonprasertsuk,A5028186517,78,342,Thammasat University Hospital
Surapong Uttama,A5028790463,78,521,Microsoft Research (United Kingdom)
Paskorn Sritipsukho,A5060818814,78,730,Thammasat University Hospital
Jirachai Buddhakulsomsiri,A5070500501,78,836,Sirindhorn College of Public Health
Patchareewan Pannangpetch,A5071708792,78,2319,Faculty (United Kingdom)
Thaweesak Songserm,A5077455263,78,2987,Siriraj Hospital
Surarong Chinwong,A5081690752,78,484,Thai Health Promotion Foundation
Tiến Đại Nguyễn,A5082456439,78,778,Ton Duc Thang University
Susan M. Noworolski,A5091607078,78,3501,University of St. Francis
Wararit Panichkitkosolkul,A5027300848,77,212,Thammasat University
Patrick Reynolds,A5067849098,77,615,University of Dundee
Suebsak Nanthavanij,A5076293980,77,655,The University of Texas at Arlington
Duy Nguyen,A5086523150,77,778,Monash University
Keyu Liu,A5101623884,77,1387,Southeast University
Sununta Siengthai,A5007518661,76,1582,Thammasat University
Thatsanee Charoenporn,A5023028746,76,320,Thammasat University
Umar Farooq,A5054327443,76,2270,Institute of Chemistry
Robert T. Green,A5067600728,76,3181,Quadram Institute
Ruba Y. Taha,A5081321939,76,623,National Center for Cancer Care and Research
Aree Valyasevi,A5043115822,75,1014,Ramathibodi Hospital
Penchom Janwan,A5044671167,75,854,Mahidol University
Sittichai Koontongkaew,A5052092747,75,1799,Thammasat University
Suthep Wiyakrutta,A5066247703,75,1892,Mahidol University
Shamila De Silva,A5089064664,75,917,University of Moratuwa
Kullathorn Thephamongkhol,A5007722215,74,1544,Sichuan University
Pierre-Alain Müller,A5014963512,74,4958,Seoul National University
Kornkarn Bhamarapravatana,A5020266456,74,378,Thammasat University
Noel Pabalan,A5021009910,74,1240,Cebu Doctors' University
Sira Nanthapisal,A5029953945,74,924,Great Ormond Street Hospital
Narongkorn Saiphoklang,A5039472146,74,408,"University of California, Los Angeles"
Palakorn Surakunprapha,A5082095628,74,451,Weatherford College
Parinya Sanguansat,A5022904614,73,522,Japan Advanced Institute of Science and Technology
Didier Cossin,A5039926490,73,628,HEC Montréal
Teeradaj Racharak,A5055898374,73,376,Hodges University
Maxime Devanne,A5067446887,73,1018,Gestione Sistemi per l’Informatica (Italy)
Patommatat Bhanthumkomol,A5080203377,73,324,Siriraj Hospital
Amnart Boonkajay,A5008659265,72,190,Tohoku University
Elizabeth A. Kirk,A5009597053,72,829,The University of Adelaide
Pornthep Anussornnitisarn,A5011962356,72,717,Thammasat University
Nattawut Leelakanok,A5031868748,72,1046,Thammasat University
Michael T. Dugan,A5043046854,72,1470,University of Southern Mississippi
Wittawat Jitkrittum,A5072755496,72,673,Max Planck Institute for Intelligent Systems
Pakinee Aimmanee,A5083998857,72,405,Hodges University
Sujin Suwanna,A5088281040,72,339,Thammasat University
Rudi Grams,A5007038630,71,1125,Niedersächsisches Landesgesundheitsamt
Roy Batterham,A5049148122,71,4356,Swinburne University of Technology
Paiboon Sreearunothai,A5064776228,71,2310,University of Cambridge
Kamla Kant Shukla,A5072342877,71,2164,Nanjing University of Chinese Medicine
Sophon Roengsumran,A5078725607,71,1416,Mahanakorn University of Technology
Hanggara Sudrajat,A5088175523,71,1635,National Research and Innovation Agency
Konlawij Trongtrakul,A5088504844,71,1425,Chiang Mai University
Steven R. Hawks,A5003856639,70,1462,Jones College
Cynthia Haq,A5026901831,70,1412,International Rescue Committee
Hapuarachchige Chanditha Hapuarachchi,A5049629025,70,2874,Universidad de Antioquia
S.M. Zabed Ahmed,A5071104174,70,959,University of Dhaka
Michael J. Montesano,A5075061897,70,310,Naresuan University
Siriluk Chiarakorn,A5077388575,70,1068,Chulalongkorn University
Dunyaporn Trachootham,A5081348048,70,9955,University of Houston
John Mangan,A5101881830,70,2834,Aston University
Feng Wang,A5115590901,70,617,Third Hospital of Hebei Medical University
Jarinthorn Teerapornpuntakit,A5002888494,69,1454,Thammasat University
Nattapon Chantarapanich,A5004174319,69,885,Kasetsart University
Tashi Tobgay,A5011802347,69,1125,CHI Health Creighton University Medical Center - Bergan Mercy
Shweta Sinha,A5022560768,69,663,Central Institute of Medicinal and Aromatic Plants
Banlue Srisuchinwong,A5031511506,69,543,University of Manchester
Fangliang Zhang,A5054726324,69,1176,Wuhan University
Sakun Boon‐itt,A5079483069,69,4013,University of Leeds
Mathupayas Thongmak,A5088689623,69,609,Chulalongkorn University
Surat Komindr,A5002220109,68,1381,Ramathibodi Hospital
Nattaya Ngamrojanavanich,A5029754554,68,1789,National Center for Genetic Engineering and Biotechnology
Warunee Fongkaew,A5079877505,68,681,Chiang Mai University
Burachat Chatveera,A5013904347,67,1028,Thammasat University
Nattapong Puttanapong,A5034982525,67,501,Cornell University
Ying‐kit Chan,A5052350787,67,90,International Institute for Asian Studies
Wimol San-Um,A5052841412,67,341,Kochi University of Technology
Thareerat Kalambaheti,A5062579810,67,1344,Mahidol Oxford Tropical Medicine Research Unit
Fauzan Romadlon,A5063345755,67,97,Universitas Nahdlatul Ulama Indonesia
Saher Javaid,A5090193807,67,336,Forman Christian College
Yingying Wang,A5100381040,67,780,Wenzhou Medical University
Saovanee Leelayoova,A5106407900,67,1582,University of North Carolina at Chapel Hill
Navid Khademi,A5026116317,66,626,CY Cergy Paris Université
Christopher T. Elliott,A5110077703,66,2155,University North
S. Jirasiritham,A5110554106,66,577,Ramathibodi Hospital
Abdullah Uz Tansel,A5110911789,66,2608,"The Graduate Center, CUNY"
Van-Hau Nguyen,A5020147099,65,1211,Vinh University
Pongsri Tongtawe,A5055911118,65,1742,GlaxoSmithKline (Belgium)
Pongsak Utaisincharoen,A5062502707,65,2002,Chulabhorn Research Institute
Yuthana Tantirungrotechai,A5062554861,65,968,University of Cambridge
Boonying Siribumrungwong,A5079666844,65,2198,Ramathibodi Hospital
Rebecca A. Johnson,A5102007816,65,1721,Human Computer Interaction (Switzerland)
Khin Maung Lwin,A5111941502,65,8271,Shoklo Malaria Research Unit
Pokpong Songmuang,A5013324722,64,219,Thammasat University
Robert B. Williamson,A5014604055,64,131,Williams (United States)
Manas Chongsa-nguan,A5017756611,64,1202,Srinakharinwirot University
Somkiat Vasuvattakul,A5021814455,64,1521,Henry Ford Hospital
Maleewan Kitcharoensakkul,A5034563852,64,452,Hackensack University Medical Center
Wikanda Phaphan,A5038701071,64,157,Centre of Excellence in Mathematics
Wayne Palmer,A5048898422,64,223,Binus University
Wipawee Nittayananta,A5050733688,64,1580,Bangkokthonburi University
Ba Le Huy,A5067340131,64,160,Le Quy Don Technical University
Muhammad Hajrul Malaka,A5068350266,64,272,Thammasat University
Athita Chanthasenanont,A5035603278,63,454,Thomas Jefferson University
Thammanard Charernboon,A5053879164,63,419,Thammasat University
Suwadee Jiajaroen,A5055716631,63,55,Graz University of Technology
Chayanis Kositamongkol,A5055844394,63,272,Mahidol University
Pornpimon Angkasekwinai,A5056646295,63,3418,Mahidol University
Prarinya Siritanawan,A5084710623,63,194,Thammasat University
Liang Li,A5100420731,63,2324,Guilin University of Technology
Muhammad Awais,A5101649211,63,897,University of Faisalabad
Varocha Mahachai,A5108119265,63,1804,Boehringer Ingelheim (Canada)
Amanda Maestre,A5108521263,63,2009,Universidad Pontificia Bolivariana
Natsuda Aumpan,A5011620149,62,279,King Chulalongkorn Memorial Hospital
Pruettha Nanakorn,A5051303588,62,1055,Hodges University
Surapa Thiemjarus,A5052411697,62,1159,National Science and Technology Development Agency
Ratnasekhar Ch,A5067110653,62,1224,Addenbrooke's Hospital
Sueo Sudo,A5067117017,62,481,ISEAS - Yusof Ishak Institute
Michael K. Connors,A5070878787,62,803,Chulalongkorn University
Poorichaya Somparn,A5016385732,61,1585,Thammasat University
Martin Baier,A5019140869,61,934,Friedrich-Alexander-Universität Erlangen-Nürnberg
Chaiwat Satha‐Anand,A5081145253,61,184,Walailak University
Asifa Ashraf,A5088677220,61,577,Nanjing Normal University
Xinyu Liu,A5100446448,61,1021,École Polytechnique Fédérale de Lausanne
Pasura Aungkulanon,A5015199101,60,310,Thammasat University
Arslan Khalid,A5042453776,60,1699,Ayub Medical College
Sumet Kongkiatpaiboon,A5045044599,60,642,Mahidol University
Nattadon Pannucharoenwong,A5049027979,60,192,Khon Kaen University
Jinbin Li,A5052074765,60,589,Agricultural Academy
Buncha Pulpoka,A5063124036,60,677,Centre National de la Recherche Scientifique
Pichai Aree,A5063171657,60,237,University of Glasgow
Lisa Pawloski,A5077272628,60,710,MetroHealth Medical Center
Pana Suttakul,A5081954321,60,668,Thammasat University
Busaba Phruksaphanrat,A5018204443,59,282,Thammasat University
Thos Harnroongroj,A5020264958,59,499,Mahidol University
Sirikul Manochantr,A5032369855,59,892,Mahidol University
Damrongsak Rinchumphu,A5035443605,59,267,Thammasat University
Supakorn Phoocharoensil,A5038609336,59,409,Thammasat University
Roshan Regmi,A5042016771,59,567,Institute of Agriculture and Animal Science
Suthipong Sthiannopkao,A5050141624,59,2899,Thammasat University
Dittapong Songsaeng,A5059110754,59,426,Bangkok Hospital
Nguyen Van Hop,A5063562792,59,732,First Consulting Group (United States)
Silvia Martín,A5009720446,58,1936,Hospital Clínico San Carlos
Vũ Văn Khiên,A5010616900,58,506,Pham Ngoc Thach University of Medicine
Banyat Sroysang,A5014072619,58,137,Chulalongkorn University
Corazón Morales Siddayao,A5016522629,58,142,Government of Thailand
Somsak Kittipiyakul,A5037958608,58,542,Thammasat University
Divesh Ranjan Kumar,A5037993491,58,825,National Institute of Technology Patna
Luckhana Lawtrakul,A5047387501,58,684,Thammasat University
Sarute Ummartyotin,A5054365464,58,1383,Thammasat University
Chatphorn Theppitak,A5056982444,58,71,Chulabhorn Research Institute
Ekkachai Kanchanatip,A5064188537,58,1309,Sakon Nakhon Rajabhat University
Krisada Chaiyasarn,A5111198154,58,1188,University of Cambridge
Xianghui Kong,A5008237832,57,360,Hubei University of Technology
Paitoon Rakluea,A5009158717,57,231,Thammasat University
Sirinrath Sirivisoot,A5015651290,57,972,Forest Institute
Kamon Budsaba,A5030932235,57,312,First Nations University of Canada
Jitlada Meephansan,A5048378082,57,1754,Thammasat University
David Engström,A5052383474,57,1287,New Mexico Highlands University
Claire Murphy,A5067893371,57,1588,St James's University Hospital
Nguyen Anh Dao,A5081958564,57,184,Université de Tours
Thenmozhi Venkatachalam,A5084234842,57,636,Elite School of Optometry
Kanungnit Congpuong,A5091656113,57,1175,Mahidol Oxford Tropical Medicine Research Unit
W.H. Wernsdorfer,A5112167793,57,1718,Vienna General Hospital
A. Barat,A5113800339,57,465,Sukhothai Thammathirat Open University
Thira Jearsiripongkul,A5030014364,56,590,Asian Institute of Technology
Suthirat Kittipongvises,A5033153001,56,1009,Asian Institute of Technology
Prapasri Kulalert,A5047425579,56,168,Prince of Songkla University
Thai Hoang Nguyen,A5048795007,56,341,Trường ĐH Nguyễn Tất Thành
Julien Boucher,A5053797847,56,2934,Swedish International Development Cooperation Agency
Korbtham Sathirakul,A5055158425,56,924,Carnegie Mellon University
Tullayakorn Plengsuriyakarn,A5058558058,56,1007,Hodges University
James E.T. Moncur,A5067269854,56,660,University of Hawaiʻi at Mānoa
Toshiaki Kondo,A5106545033,56,536,Japan Organization for Metals and Energy Security (Japan)
Sichaem Jirapast,A5117148097,56,0,Thammasat University
Kamon Aiempanakit,A5000395601,55,493,King Mongkut's University of Technology North Bangkok
Chaiyuth Padungsaksawasdi,A5010329170,55,488,Thammasat University
Chanon Kongkamol,A5044291574,55,931,Holistic Management International
